Date,Stream,Transect,Visit,Section,Wetted,Depth,
2018-05-29,POPLICKTRIB,1,1,0,2.4,NA,
2018-05-29,POPLICKTRIB,1,1,12.5,3.3,NA,
2018-05-29,POPLICKTRIB,1,1,25,2.8,NA,
2018-05-30,ALEX,1U,1,NA,NA,NA,
2018-05-30,ALEX,1U,1,NA,NA,NA,
2018-05-30,ALEX,1U,1,NA,NA,NA,
2018-05-30,ALEX,2U,1,NA,NA,NA,
2018-05-30,ALEX,2U,1,NA,NA,NA,
2018-05-30,ALEX,2U,1,NA,NA,NA,
2018-06-07,ALEX,1U,2,0,2.9,39.5,
2018-06-07,ALEX,1U,2,12.5,2.4,35.5,
2018-06-07,ALEX,1U,2,25,3.3,13.5,
2018-06-07,ALEX,2U,2,0,3.1,21.5,
2018-06-07,ALEX,2U,2,12.5,3.5,17.0,
2018-06-07,ALEX,2U,2,25,2.3,8.5,
2018-06-07,POPLICKTRIB,1,2,0,3.1,13.0,
2018-06-07,POPLICKTRIB,1,2,12.5,3.6,8.0,
2018-06-07,POPLICKTRIB,1,2,25,3.1,11.5,
2018-06-08,ELKLICK,1,1,0,2.2,5.5,
2018-06-08,ELKLICK,1,1,12.5,1.9,6.5,
2018-06-08,ELKLICK,1,1,25,2.6,10.5,
2018-06-08,ELKLICK,2,1,0,3.4,8.0,
2018-06-08,ELKLICK,2,1,12.5,1.9,9.5,
2018-06-08,ELKLICK,2,1,25,2.3,6.5,
2018-06-09,ALEX,1U,3,0,2.8,32.0,
2018-06-09,ALEX,1U,3,12.5,2.4,27.0,
2018-06-09,ALEX,1U,3,25,3.2,11.5,
2018-06-09,ALEX,2U,3,0,2.6,18.0,
2018-06-09,ALEX,2U,3,12.5,3.8,16.5,
2018-06-09,ALEX,2U,3,25,2.1,17.5,
2018-06-09,POPLICKTRIB,1,3,0,2.9,5.5,
2018-06-09,POPLICKTRIB,1,3,12.5,3.3,9.0,
2018-06-09,POPLICKTRIB,1,3,25,3.4,10.5,
2018-06-19,ELKLICK,1,2,0,1.5,3.0,
2018-06-19,ELKLICK,1,2,12.5,1.8,6.0,
2018-06-19,ELKLICK,1,2,25,2.7,12.5,
2018-06-19,ELKLICK,2,2,0,3.2,6.0,
2018-06-19,ELKLICK,2,2,12.5,1.1,4.0,
2018-06-19,ELKLICK,2,2,25,2.2,4.0,
2018-06-20,ELKLICK,1,3,0,1.6,2.5,
2018-06-20,ELKLICK,1,3,12.5,1.8,4.0,
2018-06-20,ELKLICK,1,3,25,2.6,8.0,
2018-06-20,ELKLICK,2,3,0,3.1,7.5,
2018-06-20,ELKLICK,2,3,12.5,1.0,5.0,
2018-06-20,ELKLICK,2,3,25,2.2,3.0,
2018-06-21,ELKLICK,3,1,0,2.7,4.0,
2018-06-21,ELKLICK,3,1,12.5,3.3,9.0,
2018-06-21,ELKLICK,3,1,25,4.3,8.5,
2018-06-21,MILL,1,1,0,1.8,9.0,
2018-06-21,MILL,1,1,12.5,1.5,9.5,
2018-06-21,MILL,1,1,25,1.0,8.5,
2018-06-25,BLUELICK,1D,1,0,3.2,7.5,
2018-06-25,BLUELICK,1D,1,12.5,1.8,9.0,
2018-06-25,BLUELICK,1D,1,25,1.3,6.5,
2018-06-25,WSHALEN,1,1,0,0.9,11.5,
2018-06-25,WSHALEN,1,1,12.5,0.6,9.5,
2018-06-25,WSHALEN,1,1,25,0.2,3.0,
2018-06-26,BLUELICK,1D,2,0,3.1,4.5,
2018-06-26,BLUELICK,1D,2,12.5,1.4,9.0,
2018-06-26,BLUELICK,1D,2,25,1.1,5.5,
2018-06-26,BLUELICK,1U,1,0,2.0,3.5,
2018-06-26,BLUELICK,1U,1,12.5,1.1,10.0,
2018-06-26,BLUELICK,1U,1,25,0.9,16.0,
