"","UnitName","PointName","Latitude","Longitude","SDate"
"1","C & O Canal National Historic Park","COST21-1",38.9944166,-76.7586667,"7/5/05"
"2","C & O Canal National Historic Park","COST21-2",38.9944166,-76.7586667,"7/5/05"
"3","C & O Canal National Historic Park","COST21-3",38.2438611,-76.7563055,"7/5/05"
"4","C & O Canal National Historic Park","COST21-4",38.2438611,-76.7563055,"7/5/05"
"5","C & O Canal National Historic Park","COST22-1",38.9914722,-77.2393889,"7/5/05"
"6","C & O Canal National Historic Park","COST22-2",38.9914722,-76.7606112,"7/5/05"
"7","C & O Canal National Historic Park","COST22-3",38.99075,-76.7593055,"7/5/05"
"8","C & O Canal National Historic Park","COST22-4",38.99075,-76.7593055,"7/5/05"
"9","C & O Canal National Historic Park","COST26 Tx1",38.9918333,-77.2361,"5/3/06"
"10","C & O Canal National Historic Park","COST27 Tx2",38.9918333,-77.2361,"5/4/06"
"11","C & O Canal National Historic Park","COST27 Tx3",38.9918333,-77.2361,"5/4/06"
"12","C & O Canal National Historic Park","COST27-1",38.9935277,-77.2319444,"6/28/05"
"13","C & O Canal National Historic Park","COST27-2",38.9935277,-76.7680556,"6/28/05"
"14","C & O Canal National Historic Park","COST27-3",38.9924444,-76.7673888,"6/28/05"
"15","C & O Canal National Historic Park","COST27/28-3",38.9908333,-76.7666944,"6/28/05"
"16","C & O Canal National Historic Park","COST27/28-4",38.9908333,-76.7666944,"6/28/05"
"17","C & O Canal National Historic Park","COST27/28-5",38.9898888,-76.7653333,"6/28/05"
"18","C & O Canal National Historic Park","COST27/28-6",38.9898888,-76.7653333,"6/28/05"
"19","C & O Canal National Historic Park","COST28 Tx4",38.9916111,-77.2208333,"5/4/06"
"20","C & O Canal National Historic Park","COST28-1",38.9916111,-77.2208333,"6/28/05"
"21","C & O Canal National Historic Park","COST28-2",38.9916111,-77.7791666,"6/28/05"
"22","C & O Canal National Historic Park","COST31-1",38.9869999,-77.2286111,"6/30/05"
"23","C & O Canal National Historic Park","COST31-2",38.987,-76.7713889,"6/30/05"
"24","C & O Canal National Historic Park","COST31-3",-99,-99,"6/13/06"
"25","C & O Canal National Historic Park","COST31-4",-99,-99,"6/13/06"
"26","C & O Canal National Historic Park","COST39-1",38.9889444,-77.2293055,"6/30/05"
"27","C & O Canal National Historic Park","COST39-2",38.9889444,-76.7706945,"6/30/05"
"28","C & O Canal National Historic Park","COST39-3",38.9869444,-76.7712222,"6/30/05"
"29","C & O Canal National Historic Park","COST39-4",38.9869444,-76.7712222,"6/30/05"
"30","C & O Canal National Historic Park","COST8-1",39.0090833,-77.23967,"7/6/05"
"31","C & O Canal National Historic Park","COST8-2",39.0090833,-76.7603334,"7/6/05"
"32","C & O Canal National Historic Park","COST8-3",38.0096388,-76.7577777,"7/6/05"
"33","C & O Canal National Historic Park","COST8-4",39.0096388,-76.7603334,"7/6/05"
"34","Prince William Forest National Park","PRW101-1R",-99,-99,"6/22/06"
"35","Prince William Forest National Park","PRW101-2L",-99,-99,"6/22/06"
"36","Prince William Forest National Park","PRW101-3R",38.5785333,-77.4211333,"6/22/06"
"37","Prince William Forest National Park","PRW101-4L",38.5785333,-77.4211333,"6/22/06"
"38","Prince William Forest National Park","PRW114-1R",38.5851666,-77.4180833,"6/22/06"
"39","Prince William Forest National Park","PRW114-2L",38.5851666,-77.4180833,"6/22/06"
"40","Prince William Forest National Park","PRW114-3R",-99,-99,"6/22/06"
"41","Prince William Forest National Park","PRW114-4L",-99,-99,"6/22/06"
"42","Prince William Forest National Park","PRW127-1R",38.5864833,-77.4107,"6/22/06"
"43","Prince William Forest National Park","PRW127-2L",38.5864833,-77.4107,"6/22/06"
"44","Prince William Forest National Park","PRW127-3L",-99,-99,"6/22/06"
"45","Prince William Forest National Park","PRW127-4R",-99,-99,"6/22/06"
"46","Prince William Forest National Park","PRW146-1L",38.61665,-77.4200333,"6/21/06"
"47","Prince William Forest National Park","PRW146-2R",38.61665,-77.4200333,"6/21/06"
"48","Prince William Forest National Park","PRW146-A1",38.6157222,-77.4201666,"7/10/06"
"49","Prince William Forest National Park","PRW146-A2",38.6157222,-77.4201666,"7/10/06"
"50","Prince William Forest National Park","PRW157-1",38.60996,-77.41048,"6/15/06"
"51","Prince William Forest National Park","PRW157-2",38.60996,-77.41048,"6/15/06"
"52","Prince William Forest National Park","PRW157-3",-99,-99,"6/15/06"
"53","Prince William Forest National Park","PRW157-4",-99,-99,"6/15/06"
"54","Prince William Forest National Park","PRW157-A1",38.6099444,-77.4091944,"7/19/06"
"55","Prince William Forest National Park","PRW157-A2",38.6099444,-77.4091944,"7/19/06"
"56","Prince William Forest National Park","PRW172-1R",38.6190833,-77.424,"6/21/06"
"57","Prince William Forest National Park","PRW172-2L",38.6190833,-77.424,"6/21/06"
"58","Prince William Forest National Park","PRW172-A1",38.6200666,-77.42565,"7/10/06"
"59","Prince William Forest National Park","PRW172-A2",38.6200666,-77.42565,"7/10/06"
"60","Prince William Forest National Park","PRW226-1R",38.5946666,-77.4035,"6/21/06"
"61","Prince William Forest National Park","PRW226-2L",38.5946666,-77.4035,"6/21/06"
"62","Prince William Forest National Park","PRW226-3R",38.5941388,-77.4029722,"6/21/06"
"63","Prince William Forest National Park","PRW226-4L",38.5941388,-77.4029722,"6/21/06"
"64","Prince William Forest National Park","PRW226-A1",38.5953611,-77.4040277,"7/11/06"
"65","Prince William Forest National Park","PRW226-A2",38.5953611,-77.4040277,"7/11/06"
"66","Prince William Forest National Park","PRW227-1L",38.5941111,-77.3996666,"6/21/06"
"67","Prince William Forest National Park","PRW227-2R",38.5941111,-77.3996666,"6/21/06"
"68","Prince William Forest National Park","PRW227-3L",-99,-99,"6/21/06"
"69","Prince William Forest National Park","PRW227-4L",-99,-99,"6/21/06"
"70","Prince William Forest National Park","PRW227-A1",38.5951666,-77.3995555,"7/11/06"
"71","Prince William Forest National Park","PRW227-A2",38.5951666,-77.3995555,"7/11/06"
"72","Prince William Forest National Park","PRW247-1R",38.5810555,-77.3808888,"6/23/06"
"73","Prince William Forest National Park","PRW247-2L",38.5810555,-77.380888,"6/23/06"
"74","Prince William Forest National Park","PRW247-3R",38.5804444,-77.3815277,"6/23/06"
"75","Prince William Forest National Park","PRW247-4L",38.5804444,-77.3815277,"6/23/06"
"76","Prince William Forest National Park","PRW262-1",38.5895166,-77.3684166,"6/14/06"
"77","Prince William Forest National Park","PRW262-2",38.5895166,-77.3684166,"6/14/06"
"78","Prince William Forest National Park","PRW262-3",38.5901,-77.3672333,"6/14/06"
"79","Prince William Forest National Park","PRW262-4",38.5901,-77.3672333,"6/14/06"
"80","Prince William Forest National Park","PRW263-1",38.5943333,-77.3683333,"6/14/06"
"81","Prince William Forest National Park","PRW263-2",38.5943333,-77.3683333,"6/14/06"
"82","Prince William Forest National Park","PRW263-3",38.5928055,-77.36725,"6/14/06"
"83","Prince William Forest National Park","PRW263-4",38.5928055,-77.36725,"6/14/06"
"84","Prince William Forest National Park","PRW263-A1",38.5926944,-77.3691944,"7/19/06"
"85","Prince William Forest National Park","PRW263-A2",38.5926944,-77.3691944,"7/19/06"
