FID,UnitName,PointName,Latitude,Longitude,SegmentL,SDate,Visit,SpeciesCod,SAgeID,PassCount1,PassCount2,PassCount3,Depth1,Depth2,Depth3,WaterPrese,SiltClay,Sand,Gravel,Pebble,Cobble,Boulder,Bedrock,Artificial,Detritus,LengthPool,LengthRun,LengthRiff,Width1,Width2,Width3,FishPresen,CrayfishPr,pH,Conductivi,WaterTemp,StartAirTe,StartWater,DDMLatLon,ORIG_OID,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y
0,C & O Canal National Historic Park,COST21-1,38.994416600000001,-76.758666700000006,15m,7/5/2005 0:00:00,1,NULL,NULL,NULL,NULL,NULL,0.5,0.5,1.5,Y,17,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,1,1,30,23,35,N,N,6.93,75,NULL,25.3,16.6,38 59.66452708N 076 45.51986916W,0,103245,0.006631400723210,-76.762356021599999,38.999917690300002
1,C & O Canal National Historic Park,COST21-1,38.994416600000001,-76.758666700000006,15m,7/29/2005 0:00:00,2,NULL,NULL,NULL,NULL,NULL,5,1,1,Y,56,NULL,17,NULL,NULL,NULL,NULL,NULL,26,13,2,0,40,29,68,N,N,6.42,55,NULL,21.8,17.1,38 59.66452708N 076 45.51986916W,1,103245,0.006631400723210,-76.762356021599999,38.999917690300002
2,C & O Canal National Historic Park,COST21-1,38.994416600000001,-76.758666700000006,15m,6/13/2006 0:00:00,5,NULL,NULL,NULL,NULL,NULL,0.5,0.5,1,Y,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,96,14,0,0,50,40,40,N,N,NULL,NULL,NULL,19.4,14.2,38 59.66452708N 076 45.51986916W,2,103245,0.006631400723210,-76.762356021599999,38.999917690300002
3,C & O Canal National Historic Park,COST21-1,38.994416600000001,-76.758666700000006,15m,7/17/2006 0:00:00,6,RCLA,juvenile,1,0,0,3.5,0.5,6.5,Y,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,87,5,2,8,75,20,64,N,N,5.78,62,NULL,29,16.9,38 59.66452708N 076 45.51986916W,3,103245,0.006631400723210,-76.762356021599999,38.999917690300002
4,C & O Canal National Historic Park,COST21-1,38.994416600000001,-76.758666700000006,15m,6/5/2007 0:00:00,7,NULL,NULL,NULL,NULL,NULL,0.8,1.7,1.4,Y,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL,84,13,0,2,43,62,74,N,N,7,51,NULL,24.6,15.1,38 59.66452708N 076 45.51986916W,4,103245,0.006631400723210,-76.762356021599999,38.999917690300002
5,C & O Canal National Historic Park,COST21-1,38.994416600000001,-76.758666700000006,15m,7/11/2007 0:00:00,8,NULL,NULL,NULL,NULL,NULL,0,0,0.5,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,7,0,0,0,0,90,N,N,6.32,147,NULL,24.3,23,38 59.66452708N 076 45.51986916W,5,103245,0.006631400723210,-76.762356021599999,38.999917690300002
6,C & O Canal National Historic Park,COST21-1,38.994416600000001,-76.758666700000006,15m,6/2/2008 0:00:00,1,NULL,NULL,NULL,NULL,NULL,0,0,1,Y,NULL,NULL,4,NULL,16,NULL,NULL,NULL,NULL,0,0,4,0,0,47,N,N,5.7,58,NULL,22.7,14.3,38 59.66452708N 076 45.51986916W,6,103245,0.006631400723210,-76.762356021599999,38.999917690300002
7,C & O Canal National Historic Park,COST21-1,38.994416600000001,-76.758666700000006,15m,7/1/2008 0:00:00,2,NULL,NULL,NULL,NULL,NULL,3.5,0,0,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,1,0,0,120,0,0,N,N,6.01,132,NULL,23.4,19.7,38 59.66452708N 076 45.51986916W,7,103245,0.006631400723210,-76.762356021599999,38.999917690300002
8,C & O Canal National Historic Park,COST21-1,38.994416600000001,-76.758666700000006,15m,6/3/2009 0:00:00,1,NULL,NULL,NULL,NULL,NULL,NULL,2,0.5,NULL,NULL,23,8,NULL,11,NULL,NULL,NULL,59,10,NULL,NULL,NULL,51,19,N,N,6.07,60,NULL,22.6,16.3,38 59.66452708N 076 45.51986916W,8,103245,0.006631400723210,-76.762356021599999,38.999917690300002
9,C & O Canal National Historic Park,COST21-1,38.994416600000001,-76.758666700000006,15m,7/3/2009 0:00:00,2,NULL,NULL,NULL,NULL,NULL,10,0,7,Y,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57,3,2,0,180,0,135,N,N,5.75,130,NULL,NULL,16.8,38 59.66452708N 076 45.51986916W,9,103245,0.006631400723210,-76.762356021599999,38.999917690300002
10,C & O Canal National Historic Park,COST21-1,38.994416600000001,-76.758666700000006,15m,6/4/2010 0:00:00,1,NULL,NULL,NULL,NULL,NULL,2.2,4.1,1,Y,5,12,NULL,NULL,NULL,NULL,NULL,NULL,83,NULL,NULL,15,48,61,19,N,Y,7.52,-99,NULL,25.6,16,38 59.66452708N 076 45.51986916W,10,103245,0.006631400723210,-76.762356021599999,38.999917690300002
11,C & O Canal National Historic Park,COST21-1,38.994416600000001,-76.758666700000006,15m,7/6/2010 0:00:00,2,NULL,NULL,NULL,NULL,NULL,0.7,0.9,0.7,Y,48,NULL,4,16,15,NULL,NULL,NULL,17,NULL,15,NULL,46,43,45,N,N,NULL,-99,NULL,32.8,18.9,38 59.66452708N 076 45.51986916W,11,103245,0.006631400723210,-76.762356021599999,38.999917690300002
12,C & O Canal National Historic Park,COST21-1,38.994416600000001,-76.758666700000006,15m,6/22/2011 0:00:00,1,NULL,NULL,NULL,NULL,NULL,2,1.5,0,Y,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,29,6,0,0,72,63,0,N,N,7.2,67,NULL,NULL,14.1,38 59.66452708N 076 45.51986916W,12,103245,0.006631400723210,-76.762356021599999,38.999917690300002
13,C & O Canal National Historic Park,COST21-1,38.994416600000001,-76.758666700000006,15m,7/27/2011 0:00:00,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,N,NULL,NULL,NULL,28.3,NULL,38 59.66452708N 076 45.51986916W,13,103245,0.006631400723210,-76.762356021599999,38.999917690300002
14,C & O Canal National Historic Park,COST21-1,38.994416600000001,-76.758666700000006,15m,6/22/2012 0:00:00,1,NULL,NULL,NULL,NULL,NULL,0.5,1,0,Y,10,24,NULL,NULL,10,NULL,NULL,NULL,50,0,13,0,47,10,0,N,Y,7,67,NULL,26.5,14.9,38 59.66452708N 076 45.51986916W,14,103245,0.006631400723210,-76.762356021599999,38.999917690300002
15,C & O Canal National Historic Park,COST21-1,38.994416600000001,-76.758666700000006,15m,7/25/2012 0:00:00,2,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,N,NULL,NULL,NULL,27.8,NULL,38 59.66452708N 076 45.51986916W,15,103245,0.006631400723210,-76.762356021599999,38.999917690300002
16,C & O Canal National Historic Park,COST21-1,38.994416600000001,-76.758666700000006,15m,6/28/2013 0:00:00,1,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,N,N,NULL,NULL,NULL,22.6,NULL,38 59.66452708N 076 45.51986916W,16,103245,0.006631400723210,-76.762356021599999,38.999917690300002
17,C & O Canal National Historic Park,COST21-1,38.994416600000001,-76.758666700000006,15m,7/25/2013 0:00:00,2,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,N,NULL,NULL,NULL,17.8,NULL,38 59.66452708N 076 45.51986916W,17,103245,0.006631400723210,-76.762356021599999,38.999917690300002
18,C & O Canal National Historic Park,COST21-1,38.994416600000001,-76.758666700000006,15m,7/22/2014 0:00:00,1,NULL,NULL,NULL,NULL,NULL,3.2,5,0.7,Y,34,4,NULL,NULL,NULL,NULL,NULL,NULL,62,5,6,0,100,100,40,N,N,6.1,75,NULL,22.4,18.1,38 59.66452708N 076 45.51986916W,18,103245,0.006631400723210,-76.762356021599999,38.999917690300002
19,C & O Canal National Historic Park,COST21-1,38.994416600000001,-76.758666700000006,15m,8/7/2014 0:00:00,2,NULL,NULL,NULL,NULL,NULL,3.3,5.5,1,Y,38,NULL,1,NULL,NULL,NULL,NULL,NULL,61,4,5,1,50,105,60,N,N,7.6,65,NULL,23,18.3,38 59.66452708N 076 45.51986916W,19,103245,0.006631400723210,-76.762356021599999,38.999917690300002
20,C & O Canal National Historic Park,COST21-1,38.994416600000001,-76.758666700000006,15m,6/30/2015 0:00:00,1,NULL,NULL,NULL,NULL,NULL,0.7,5.7,3.8,Y,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61,1,10,0,75,110,95,N,N,6.9,71,NULL,24.6,16.3,38 59.66452708N 076 45.51986916W,20,103245,0.006631400723210,-76.762356021599999,38.999917690300002
21,C & O Canal National Historic Park,COST21-1,38.994416600000001,-76.758666700000006,15m,6/21/2016 0:00:00,1,NULL,NULL,NULL,NULL,NULL,2.7,3.4,2.5,Y,1,1,NULL,NULL,1,NULL,NULL,NULL,72,1,10,3,80,170,81,N,N,6.7,75,NULL,21.4,21.8,38 59.66452708N 076 45.51986916W,21,103245,0.006631400723210,-76.762356021599999,38.999917690300002
22,C & O Canal National Historic Park,COST21-1,38.994416600000001,-76.758666700000006,15m,7/26/2016 0:00:00,2,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-99,-99,-99,0,0,0,N,N,NULL,NULL,NULL,32.4,-99,38 59.66452708N 076 45.51986916W,22,103245,0.006631400723210,-76.762356021599999,38.999917690300002
23,C & O Canal National Historic Park,COST21-1,38.994416600000001,-76.758666700000006,15m,7/27/2017 0:00:00,1,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,N,N,NULL,NULL,NULL,26.6,-99,38 59.66452708N 076 45.51986916W,23,103245,0.006631400723210,-76.762356021599999,38.999917690300002
24,C & O Canal National Historic Park,COST21-2,38.994416600000001,-76.758666700000006,15m,7/5/2005 0:00:00,1,NULL,NULL,NULL,NULL,NULL,2,3.5,1,Y,NULL,51,32,NULL,NULL,NULL,NULL,NULL,17,1,5,9,30,25,65,N,N,6.93,75,NULL,25.3,16.6,38 59.66452708N 076 45.51986916W,24,103245,0.006631400723210,-76.762356021599999,38.999917690300002
25,C & O Canal National Historic Park,COST21-2,38.994416600000001,-76.758666700000006,15m,7/21/2005 0:00:00,2,NULL,NULL,NULL,NULL,NULL,3,2,2.5,Y,7,53,NULL,1,12,NULL,NULL,NULL,27,1,7,7,62,41,54,N,N,6.42,55,NULL,21.8,17.1,38 59.66452708N 076 45.51986916W,25,103245,0.006631400723210,-76.762356021599999,38.999917690300002
