Site,Date,#,Location,Substrate,Pass,Species,Age,SV,TL,Notes
Piney River Headwater 1,6/1/12,1,1,W,1,EBIS,L,21,39,
Piney River Headwater 1,6/1/12,2,31,W,2,DFUS,A,41,84,
Piney River Headwater 1,6/1/12,3,31,W,2,EBIS,L,16,29,
Piney River Headwater 1,6/1/12,4,1,W,1,EBIS,L,25,42,
Piney River Headwater 1,6/1/12,5,27,W,1,DFUS,A,24,53,
Piney River Headwater 1,6/1/12,6,3,W,1,DFUS,J,20,45,
Piney River Headwater 1,6/1/12,7,10,W,1,DFUS,L,15,31,
Piney River Headwater 1,6/1/12,8,1,W,1,EBIS,L,17,36,
Piney River Headwater 1,6/1/12,9,13,W,1,DFUS,J,21,50,
Piney River Headwater 1,6/1/12,10,1,W,1,EBIS,L,20,48,
Piney River Headwater 1,6/1/12,11,12,W,1,GPOR,L,54,80,
Piney River Headwater 1,6/1/12,12,5,W,1,DMON,A,29,51,
Piney River Headwater 1,6/1/12,13,30,W,2,DFUS,L,16,29,
Piney River Headwater 1,6/1/12,14,30,W,1,DFUS,J,17,35,
Piney River Headwater 1,6/1/12,15,18,W,2,DMON,J,17,32,
Piney River Headwater 1,6/1/12,16,11,W,2,EBIS,L,24,28,Tail missing and dead
Piney River Headwater 1,6/1/12,17,31,W,1,DFUS,L,13,23,Starting metamorphosis
Piney River Headwater 1,6/1/12,18,30,W,2,EBIS,L,17,32,
Piney River Headwater 1,6/1/12,19,22,W,2,DFUS,A,52,91,
Piney River Headwater 1,6/1/12,20,31,W,2,EBIS,L,17,33,
Piney River Headwater 1,6/1/12,21,0,W,2,EBIS,L,19,33,
Piney River Headwater 1,6/1/12,22,20,W,1,DMON,J,15,31,
Piney River Headwater 1,6/1/12,23,37,W,1,EBIS,L,24,41,
Piney River Headwater 1,6/1/12,24,33,W,3,GPOR,L,49,87,
Piney River Headwater 1,6/1/12,25,25,W,3,DFUS,J,13,26,
Piney River Headwater 1,6/1/12,26,20,W,1,EBIS,L,16,32,
Piney River Headwater 1,6/1/12,27,12,W,2,GPOR,L,34,61,
Piney River Headwater 1,6/1/12,28,33,W,2,DFUS,L,15,34,
Piney River Headwater 1,6/1/12,29,35,W,2,EBIS,L,22,38,
Piney River Headwater 1,6/1/12,30,2,W,2,DFUS,J,25,51,
Piney River Headwater 1,6/1/12,31,18,W,2,GPOR,L,52,95,
Piney River Headwater 1,6/1/12,32,2,W,2,EBIS,L,19,33,
Piney River Headwater 1,6/1/12,33,1,W,3,EBIS,L,23,49,
Piney River Headwater 1,6/1/12,34,13,W,2,DFUS,J,22,47,
Piney River Headwater 1,6/1/12,35,1,W,3,DFUS,L,14,31,
Piney River Headwater 1,6/1/12,36,12,W,2,GPOR,L,31,66,
Piney River Headwater 1,6/1/12,37,12,W,3,EBIS,L,18,38,
PRC1E,6/4/12,1,4,W,1,EBIS,A,24,41,
PRC1E,6/4/12,2,3,W,1,GPOR,L,53,89,
PRC1E,6/4/12,3,4,W,1,GPOR,L,55,95,
PRC1E,6/4/12,4,12,B,2,PCIN,L,42,79,
PRC1E,6/4/12,5,16,W,3,DFUS,A,19,36,
PRC1E,6/4/12,6,4,W,3,EBIS,L,24,46,
PRC1E,6/4/12,7,17,W,3,GPOR,L,56,104,
PRC1E,6/4/12,8,5,W,3,EBIS,L,26,49,
PRC1E,6/4/12,9,5,W,3,GPOR,L,60,109,
PRC2E,6/4/12,1,20,W,1,DFUS,J,17,24,"Very small size toe tips,6 sets spots, suggest DFUS"
PRC2E,6/4/12,2,12,W,1,GPOR,J,40,71,
PRC2E,6/4/12,3,11,W,1,DMON,A,47,102,
PRC2E,6/4/12,4,8,W,1,EBIS,L,19,35,
PRC2E,6/4/12,5,20,W,1,DFUS,J,15,31,
PRC2E,6/4/12,6,12,W,1,DFUS,J,23,48,
PRC2E,6/4/12,7,11,W,1,DMON,J,20,40,
PRC2E,6/4/12,8,11,W,1,DFUS,J,17,34,Very small size; toe tips and 6 sets of spots suggest DFUS
PRC2E,6/4/12,9,11,W,1,DFUS,A,43,66,
PRC2E,6/4/12,10,13,W,1,GPOR,L,47,81,
PRC2E,6/4/12,11,13,W,1,GPOR,L,43,79,
PRC2E,6/4/12,12,3,W,1,GPOR,L,45,75,
PRC2E,6/4/12,13,1,W,1,DFUS,J,14,25,
PRC2E,6/4/12,14,3,W,1,GPOR,L,45,76,
PRC2E,6/4/12,15,12,W,2,DFUS,J,22,47,
PRC2E,6/4/12,16,12,W,2,EBIS,L,22,45,
PRC2E,6/4/12,17,15,W,2,EBIS,L,17,30,
PRC2E,6/4/12,18,14,W,2,EBIS,L,18,26,
PRC2E,6/4/12,19,10,W,2,GPOR,L,35,67,
PRC2E,6/4/12,20,2,W,2,DFUS,J,14,27,Very small size; toe tips and 6 sets of spots suggest DFUS
PRC2E,6/4/12,21,4,W,3,EBIS,L,25,55,
PRC2E,6/4/12,22,9,W,3,DFUS,J,14,30,
PRC2E,6/4/12,23,1,W,3,DFUS,L,17,27,
PRC2E,6/4/12,24,1,W,3,DFUS,L,13,23,
PRC2E,6/4/12,25,10,W,3,DFUS,J,13,30,
PRC2E,6/4/12,26,14,W,3,DFUS,A,29,41,
