Date,Stream,Transect,Visit,Section,Bankfull,S/C,Sand,Gravel,Cobble,Boulder,Debris,
2018-05-29,POPLICKTRIB,1,1,0,3.5,NA,NA,NA,NA,NA,NA,
2018-05-29,POPLICKTRIB,1,1,12.5,4.0,NA,NA,NA,NA,NA,NA,
2018-05-29,POPLICKTRIB,1,1,25,3.0,NA,NA,NA,NA,NA,NA,
2018-05-30,ALEX,1U,1,0,NA,NA,NA,NA,NA,NA,NA,
2018-05-30,ALEX,1U,1,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-05-30,ALEX,1U,1,25,NA,NA,NA,NA,NA,NA,NA,
2018-05-30,ALEX,2U,1,0,NA,NA,NA,NA,NA,NA,NA,
2018-05-30,ALEX,2U,1,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-05-30,ALEX,2U,1,25,NA,NA,NA,NA,NA,NA,NA,
2018-06-07,ALEX,1U,2,0,NA,NA,NA,NA,NA,NA,NA,
2018-06-07,ALEX,1U,2,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-06-07,ALEX,1U,2,25,NA,NA,NA,NA,NA,NA,NA,
2018-06-07,ALEX,2U,2,0,NA,NA,NA,NA,NA,NA,NA,
2018-06-07,ALEX,2U,2,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-06-07,ALEX,2U,2,25,NA,NA,NA,NA,NA,NA,NA,
2018-06-07,POPLICKTRIB,1,2,0,NA,NA,NA,NA,NA,NA,NA,
2018-06-07,POPLICKTRIB,1,2,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-06-07,POPLICKTRIB,1,2,25,NA,NA,NA,NA,NA,NA,NA,
2018-06-08,ELKLICK,1,1,0,3.5,0,0,17,8,0,0,
2018-06-08,ELKLICK,1,1,12.5,2.2,0,0,8,17,0,0,
2018-06-08,ELKLICK,1,1,25,2.9,0,0,11,14,0,0,
2018-06-08,ELKLICK,2,1,0,4.1,0,0,14,7,4,0,
2018-06-08,ELKLICK,2,1,12.5,2.1,0,0,17,8,0,0,
2018-06-08,ELKLICK,2,1,25,3.0,1,0,6,15,3,0,
2018-06-09,ALEX,1U,3,0,NA,NA,NA,NA,NA,NA,NA,
2018-06-09,ALEX,1U,3,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-06-09,ALEX,1U,3,25,NA,NA,NA,NA,NA,NA,NA,
2018-06-09,ALEX,2U,3,0,NA,NA,NA,NA,NA,NA,NA,
2018-06-09,ALEX,2U,3,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-06-09,ALEX,2U,3,25,NA,NA,NA,NA,NA,NA,NA,
2018-06-09,POPLICKTRIB,1,3,0,NA,NA,NA,NA,NA,NA,NA,
2018-06-09,POPLICKTRIB,1,3,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-06-09,POPLICKTRIB,1,3,25,NA,NA,NA,NA,NA,NA,NA,
2018-06-19,ELKLICK,1,2,0,NA,NA,NA,NA,NA,NA,NA,
2018-06-19,ELKLICK,1,2,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-06-19,ELKLICK,1,2,25,NA,NA,NA,NA,NA,NA,NA,
2018-06-19,ELKLICK,2,2,0,NA,NA,NA,NA,NA,NA,NA,
2018-06-19,ELKLICK,2,2,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-06-19,ELKLICK,2,2,25,NA,NA,NA,NA,NA,NA,NA,
2018-06-20,ELKLICK,1,3,0,NA,NA,NA,NA,NA,NA,NA,
2018-06-20,ELKLICK,1,3,12.5,NA,NA,NA,NA,NA,NA,NA,
