"","transect","lat","lon"
"1","Camp 70-Yellow Creek0",39.13692,-79.40511
"2","Cortland1",39.08744,-79.44026
"3","Cortland2",39.08628,-79.44072
"4","Freeland Run1",39.01144,-79.40942
"5","Freeland Run2",39.01547,-79.41831
"6","Freeland Run2",39.01547,-79.41553
"7","Freeland Run3",39.02531,-79.42253
"8","Idleman's Run1",39.02569,-79.40033
"9","Idleman's Run2",39.02711,-79.40181
"10","Idleman's Run3",39.03706,-79.41644
"11","16th St (Holly)-1",38.9794444,-77.0377778
"12","16th St (Holly)-2",38.9794444,-77.0377777
"13","16th St (Holly)-3",38.9791657,-77.0388333
"14","16th St (Holly)-4",38.9791666,-77.0388333
"15","COST21-1",38.9944166,-76.7586667
"16","COST22-1",38.9914722,-77.2393889
"17","COST22-2",38.9914722,-76.7606112
"18","COST22-3",38.99075,-76.7593055
"19","COST22-4",38.99075,-76.7593055
"20","COST26 Tx1",38.9918333,-77.2361
"21","COST27 Tx2",38.9918333,-77.2361
"22","COST27 Tx3",38.9918333,-77.2361
"23","COST27-1",38.9935277,-77.2319444
"24","COST27-2",38.9935277,-76.7680556
"25","COST27-3",38.9924444,-76.7673888
"26","COST27/28-3",38.9908333,-76.7666944
"27","COST27/28-4",38.9908333,-76.7666944
"28","COST28 Tx4",38.9916111,-77.2208333
"29","COST28-1",38.9916111,-77.2208333
"30","COST28-2",38.9916111,-77.7791666
"31","COST31-1",38.9869999,-77.2286111
"32","COST31-2",38.987,-76.7713889
"33","COST31-3",38.987,-76.7713889
"34","COST31-4",38.987,-76.7713889
"35","COST39-1",38.9889444,-77.2293055
"36","COST39-2",38.9889444,-76.7706945
"37","COST39-3",38.9869444,-76.7712222
"38","COST39-4",38.9869444,-76.7712222
"39","COST8-1",39.0090833,-77.23967
"40","COST8-2",39.0090833,-76.7603334
"41","COST8-3",38.0096388,-76.7577777
"42","COST8-4",39.0096388,-76.7603334
"43","Fairway18-1",38.5730555,-77.0417221
"44","Fairway18-2",38.9655,-77.0417222
"45","Fairway18-3",38.9645,-77.0438888
"46","Fairway18-4",38.9645,-77.0438888
"47","Picnic 21-1",38.4570833,-77.0440833
"48","Picnic 21-1",38.95708,-77.0441
"49","Picnic 21-2",38.4570833,-77.0440833
"50","Picnic 21-2",38.95708,-77.0441
"51","Picnic 21-3",38.95675,-77.0426944
"52","PRW101-1R",38.5785333,-77.4211333
"53","PRW101-2L",38.5785333,-77.4211333
"54","PRW101-3R",38.5785333,-77.4211333
"55","PRW101-4L",38.5785333,-77.4211333
"56","PRW114-1R",38.5851666,-77.4180833
"57","PRW114-2L",38.5851666,-77.4180833
"58","PRW114-3R",38.5851666,-77.4180833
"59","PRW114-4L",38.5851666,-77.4180833
"60","PRW127-1R",38.5864833,-77.4107
"61","PRW127-2L",38.5864833,-77.4107
"62","PRW127-3L",38.5864833,-77.4107
"63","PRW127-4R",38.5864833,-77.4107
"64","PRW146-1L",38.61665,-77.4200333
"65","PRW146-2R",38.61665,-77.4200333
"66","PRW157-1",38.60996,-77.41048
"67","PRW157-2",38.60996,-77.41048
"68","PRW157-3",38.60996,-77.41048
"69","PRW157-4",38.60996,-77.41048
