"transect","Capital","Canaan","Shenandoah","WMaryland","DFUS","EBIS","ELON","PRUB","DMON","DOCH","GPOR","EGUT"
"Camp 70-Yellow Creek0",0,1,0,0,1,1,1,1,1,1,1,0
"Cortland1",0,1,0,0,1,1,1,1,1,1,1,0
"Cortland2",0,1,0,0,1,1,1,1,1,1,1,0
"Freeland Run1",0,1,0,0,1,1,1,1,1,1,1,0
"Freeland Run2",0,1,0,0,1,1,1,1,1,1,1,0
"Freeland Run3",0,1,0,0,1,1,1,1,1,1,1,0
"Idleman's Run1",0,1,0,0,1,1,1,1,1,1,1,0
"Idleman's Run2",0,1,0,0,1,1,1,1,1,1,1,0
"Idleman's Run3",0,1,0,0,1,1,1,1,1,1,1,0
"16th St (Holly)-1",1,0,0,0,1,1,1,1,0,0,0,0
"16th St (Holly)-2",1,0,0,0,1,1,1,1,0,0,0,0
"16th St (Holly)-3",1,0,0,0,1,1,1,1,0,0,0,0
"16th St (Holly)-4",1,0,0,0,1,1,1,1,0,0,0,0
"COST21-1",1,0,0,0,1,1,1,1,0,0,0,0
"COST21-2",1,0,0,0,1,1,1,1,0,0,0,0
"COST21-4",1,0,0,0,1,1,1,1,0,0,0,0
"COST22-1",1,0,0,0,1,1,1,1,1,0,0,0
"COST22-2",1,0,0,0,1,1,1,1,0,0,0,0
"COST22-3",1,0,0,0,1,1,1,1,0,0,0,0
"COST22-4",1,0,0,0,1,1,1,1,0,0,0,0
"COST26 Tx1",1,0,0,0,1,1,1,1,0,0,0,0
"COST27-1",1,0,0,0,1,1,1,1,0,0,0,0
"COST27-2",1,0,0,0,1,1,1,1,0,0,0,0
"COST27-3",1,0,0,0,1,1,1,1,0,0,0,0
"COST27 Tx2",1,0,0,0,1,1,1,1,0,0,0,0
"COST27 Tx3",1,0,0,0,1,1,1,1,0,0,0,0
"COST27/28-3",1,0,0,0,1,1,1,1,0,0,0,0
"COST27/28-4",1,0,0,0,1,1,1,1,0,0,0,0
"COST27/28-5",1,0,0,0,1,1,1,1,0,0,0,0
"COST27/28-6",1,0,0,0,1,1,1,1,0,0,0,0
"COST28-1",1,0,0,0,1,1,1,1,0,0,0,0
"COST28 Tx4",1,0,0,0,1,1,1,1,0,0,0,0
"COST31-1",1,0,0,0,1,1,1,1,0,0,0,0
"COST31-2",1,0,0,0,1,1,1,1,0,0,0,0
"COST31-3",1,0,0,0,1,1,1,1,0,0,0,0
"COST31-4",1,0,0,0,1,1,1,1,0,0,0,0
"COST39-1",1,0,0,0,1,1,1,1,0,0,0,0
"COST39-2",1,0,0,0,1,1,1,1,0,0,0,0
"COST39-3",1,0,0,0,1,1,1,1,0,0,0,0
"COST39-4",1,0,0,0,1,1,1,1,0,0,0,0
"COST8-1",1,0,0,0,1,1,1,1,0,0,0,0
"COST8-2",1,0,0,0,1,1,1,1,0,0,0,0
"COST8-4",1,0,0,0,1,1,1,1,0,0,0,0
"Fairway18-2",1,0,0,0,1,1,1,1,0,0,0,0
"Fairway18-3",1,0,0,0,1,1,1,1,0,0,0,0
"Fairway18-4",1,0,0,0,1,1,1,1,0,0,0,0
"Fairway18-5",1,0,0,0,1,1,1,1,0,0,0,0
"Picnic 21-2",1,0,0,0,1,1,1,1,0,0,0,0
"Picnic 21-3",1,0,0,0,1,1,1,1,0,0,0,0
"PRW101-1R",1,0,0,0,1,1,0,1,0,0,0,1
"PRW101-2L",1,0,0,0,1,1,0,1,0,0,0,1
"PRW101-3R",1,0,0,0,1,1,0,1,0,0,0,1
"PRW101-4L",1,0,0,0,1,1,0,1,0,0,0,1
