site,latitude,longitude
1,39.13692,-79.40511
2,39.08744,-79.44026
3,39.08628,-79.44072
4,39.01144,-79.40942
5,39.01547,-79.41831
6,39.01547,-79.41553
7,39.02531,-79.42253
8,39.02569,-79.40033
9,39.02711,-79.40181
10,39.03706,-79.41644
11,38.9794444,-77.0377778
12,38.9794444,-77.0377777
13,38.9791657,-77.0388333
14,38.9791666,-77.0388333
15,38.9944166,-76.7586667
16,38.9914722,-77.2393889
17,38.9914722,-76.7606112
18,38.99075,-76.7593055
19,38.9918333,-77.2361
20,38.9935277,-77.2319444
21,38.9935277,-76.7680556
22,38.9924444,-76.7673888
23,38.9916111,-77.2208333
24,38.9916111,-77.7791666
25,38.9869999,-77.2286111
26,38.987,-76.7713889
27,38.9889444,-77.2293055
28,38.9889444,-76.7706945
29,38.9869444,-76.7712222
30,39.0090833,-77.23967
31,39.0090833,-76.7603334
32,38.0096388,-76.7577777
33,39.0096388,-76.7603334
34,38.5730555,-77.0417221
35,38.9655,-77.0417222
36,38.9645,-77.0438888
37,38.4570833,-77.0440833
38,38.95708,-77.0441
39,38.95675,-77.0426944
40,38.5785333,-77.4211333
41,38.5851666,-77.4180833
42,38.5864833,-77.4107
43,38.61665,-77.4200333
44,38.60996,-77.41048
45,38.6099444,-77.4091944
46,38.6190833,-77.424
47,38.6200666,-77.42565
48,38.5946666,-77.4035
49,38.5941388,-77.4029722
50,38.5953611,-77.4040277
51,38.5941111,-77.3996666
52,38.5951666,-77.3995555
53,38.5810555,-77.3808888
54,38.5810555,-77.380888
55,38.5804444,-77.3815277
56,38.5895166,-77.3684166
57,38.5901,-77.3672333
58,38.5943333,-77.3683333
59,38.5928055,-77.36725
60,38.5926944,-77.3691944
61,38.6018055,-77.3577777
62,38.6013055,-77.3587777
63,38.60705,-77.3726666
64,38.6089166,-77.37115
65,38.6079333,-77.37085
66,38.5914166,-77.3515
67,38.5905277,-77.3518333
68,38.5764333,-77.3607333
69,38.5759833,-77.3594166
70,38.5768166,-77.35755
71,38.5760333,-77.3571333
72,38.58436114,-77.40938894
73,38.6149,-77.4310666
74,38.6139666,-77.3809333
75,38.9773888,-77.0435278
76,38.9544444,-77.0533333
77,38.95375,-77.05475
78,37.9203,-79.0753
79,37.92036,-79.0721
80,38.259,-78.7022
81,38.25881,-78.7017
82,38.25861,-78.7017
83,38.26143,-78.7022
84,38.26129,-78.7021
85,38.60161,-78.3333
86,38.6016,-78.3329
87,38.5333,-78.4223
88,38.60798,-78.3167
89,38.60857,-78.3146
90,38.60784,-78.3167
91,38.60969,-78.3169
92,38.58465,-78.311
93,38.58736,-78.3131
94,38.71212,-78.3431
95,38.50317,-78.4376
96,38.1723,-78.7919
97,38.14973,-78.7866
98,38.14985,-78.787
99,38.14685,-78.7826
100,38.49318,-78.459
101,38.49356,-78.4593
102,38.49378,-78.4594
103,38.17057,-78.753
104,38.17084,-78.7554
105,38.65613,-78.3368
106,38.65609,-78.3368
107,38.65702,-78.3328
108,38.65698,-78.3322
109,38.75787,-78.2729
110,38.74584,-78.2809
111,38.72027,-78.2809
112,38.73975,-78.2885
113,37.88555,-78.9899
114,38.5185,-78.4241
115,38.51729,-78.4246
116,38.51756,-78.4257
117,38.51976,-78.4271
118,38.52598,-78.407
119,38.52578,-78.4068
120,37.90183,-79.039
121,37.90087,-79.0429
122,39.65961,-79.22494
123,39.65988,-79.22573
124,39.6593,-79.22445
125,39.66021,-79.22601
126,39.65908,-79.22392
127,39.659,-79.22351
128,39.65895,-79.22297
129,39.60241,-79.20477
130,39.60171,-79.20473
131,39.60273,-79.20496
132,39.601512,-79.20512
133,39.60296,-79.20545
134,39.60334,-79.20573
135,39.60378,-79.20587
136,39.64669,-79.06651
137,39.64756,-79.06642
138,39.63213,-79.24321
139,39.63182,-79.24343
140,39.63139,-79.24358
141,39.631,-79.2435
142,39.6307,-79.24386
143,39.60565,-79.09546
144,39.60603,-79.09582
145,39.60633,-79.09582
146,39.60663,-79.09595
147,39.60692,-79.09615
148,39.58611,-79.21225
149,39.58582,-79.21112
150,39.58647,-79.21236
151,39.58544,-79.21088
152,39.58671,-79.21273
153,39.58694,-79.21284
154,39.58672,-79.21235
155,39.55851,-79.06377
156,39.61856,-79.14798
157,39.63234,-79.14803
