SITEYR,YEAR,StreamName,CountyName,Latitude83,Longitude83
DOUB-106-R-2007,2007,HAINES BRANCH,Frederick,39.53273,-77.17946
EVIT-102-B-2007,2007,ELK LICK RUN UT1,Allegany,39.6959,-78.65875
EVIT-107-B-2007,2007,EVITTS CREEK UT4,Allegany,39.65805,-78.70141
EVIT-111-B-2007,2007,PEA VINE RUN,Allegany,39.69522,-78.70998
EVIT-201-B-2007,2007,ELK LICK RUN,Allegany,39.67213,-78.71292
EVIT-203-B-2007,2007,ELK LICK RUN,Allegany,39.67341,-78.71062
EVIT-208-B-2007,2007,ROCKY GAP RUN,Allegany,39.69981,-78.6817
EVIT-304-B-2007,2007,EVITTS CREEK,Allegany,39.63633,-78.73456
EVIT-306-B-2007,2007,EVITTS CREEK,Allegany,39.71528,-78.69293
FIMI-207-S-2007,2007,FIFTEENMILE CREEK,Allegany,39.68671452,-78.45571158
LCON-201-R-2007,2007,LITTLE CONOCOCHEAGUE CREEK,Washington,39.71118,-77.94143
LCON-207-R-2007,2007,LITTLE CONOCOCHEAGUE CREEK,Washington,39.65832,-77.9044
LIKG-110-R-2007,2007,LITTLE COVE CREEK UT1,Washington,39.71054,-78.00912
LYOU-237-A-2007,2007,LITTLE YOUGHIOGHENY RIVER,Garrett,39.4187,-79.32554
PRFR-115-R-2007,2007,ISRAEL CREEK,Washington,39.37387,-77.67294
PRFR-116-R-2007,2007,ISRAEL CREEK,Washington,39.33734,-77.68864
PRFR-211-R-2007,2007,TUSCARORA CREEK UT2,Frederick,39.32741,-77.48072
PRLN-104-R-2007,2007,NORTH BRANCH POTOMAC RIVER UT6,Allegany,39.55795,-78.90841
PRLN-302-R-2007,2007,COLLIER RUN,Allegany,39.62608,-78.6851
PRLN-305-R-2007,2007,COLLIER RUN,Allegany,39.63252,-78.67908
PRLN-626-S-2007,2007,MILL RUN,Allegany,39.54608633,-78.9095451
PRUN-107-R-2007,2007,RILEYS SPRING BRANCH,Garrett,39.33886,-79.30352
PRUN-108-R-2007,2007,RILEYS SPRING BRANCH,Garrett,39.3467,-79.29557
PRUN-203-R-2007,2007,LAUREL RUN,Garrett,39.24643,-79.42538
SAVA-102-R-2007,2007,POPLAR LICK RUN,Garrett,39.64876,-79.10299
SAVA-104-R-2007,2007,LITTLE SAVAGE RIVER,Garrett,39.60144,-79.03853
SAVA-105-R-2007,2007,DRY RUN,Garrett,39.53156,-79.15212
SAVA-204-S-2007,2007,CRABTREE CREEK,Garrett,39.49499957,-79.16583653
SAVA-225-S-2007,2007,SAVAGE RIVER,Garrett,39.55403654,-79.1212091
SAVA-276-S-2007,2007,DOUBLE LICK RUN,Garrett,39.54138733,-79.21416935
SIDE-401-H-2007,2007,SIDELING HILL CREEK,Allegany,39.64919,-78.34032
UMON-119-S-2007,2007,BUZZARD BRANCH,Frederick,39.58636332,-77.49147496
UMON-201-R-2007,2007,FISHING CREEK,Frederick,39.52558,-77.38925
UMON-278-A-2007,2007,FRIENDS CREEK,Frederick,39.70891,-77.42482
UMON-288-S-2007,2007,HIGH RUN,Frederick,39.6097399,-77.41561386
UMON-389-A-2007,2007,HUNTING CREEK,Frederick,39.59395,-77.39711
UMON-402-R-2007,2007,MARSH CREEK,Frederick,39.71832,-77.22809
YOUG-103-R-2007,2007,BUFFALO RUN UT1,Garrett,39.66638,-79.45295
YOUG-201-R-2007,2007,SALT BLOCK RUN,Garrett,39.58205,-79.43183
YOUG-208-R-2007,2007,BEAR CREEK,Garrett,39.63642,-79.27546
YOUG-340-A-2007,2007,BEAR CREEK,Garrett,39.65778,-79.3239
