"SITEYR","Year","StreamName","Northing83","Easting83","Latitude83","Longitude8","Long83","MDE6Digit","MDE6Name","Basin","MDE8Digit","MDE8Name","SHEDNUM","DNR12DIG","CountyName","CountyCode","BIBIStrata","FIBIStrata","DIST","UTM17N_LON","UTM17N_LAT","UTM18N_LAT","UTM18N_LON","AlbersX","AlbersY"
"DEER-111-X-2005",2005,"PLUMTREE BRANCH",223393,436579.3,39.678264453,76.573653312,NA,"021202","Susquehanna River","SQ","02120202","Deer Creek","0332","021202020332","Baltimore","BA","EPIEDMONT","EPIEDMONT",0,0,0,0,0,1639743.66804,2019169.14012
"HA-P-180-107-97",1997,"FALLING BRANCH",227563.5,447791.3,39.715280235,76.442678979,NA,"021202","Susquehanna River","SQ","02120202","Deer Creek","0329","021202020329","Harford","HA","EPIEDMONT","EPIEDMONT",0,0,0,0,0,1649774.88956,2025368.64878
"HA-P-033-212-97",1997,"LITTLE DEER CREEK",221598.8,447511.8,39.661577087,76.446360148,NA,"021202","Susquehanna River","SQ","02120202","Deer Creek","0328","021202020328","Harford","HA","EPIEDMONT","EPIEDMONT",0,0,0,0,0,1650732.0965,2019406.23185
"HA-P-024-116-97",1997,"BROAD CREEK UT2",221552.2,455476,39.660685935,76.35356259,NA,"021202","Susquehanna River","SQ","02120205","Broad Creek","0339","021202050339","Harford","HA","EPIEDMONT","EPIEDMONT",0,0,0,0,0,1658714.82768,2020991.86137
"HA-P-142-105-97",1997,"BROAD CREEK UT1",220776.8,459614,39.65342887,76.30541484,NA,"021202","Susquehanna River","SQ","02120205","Broad Creek","0339","021202050339","Harford","HA","EPIEDMONT","EPIEDMONT",0,0,0,0,0,1662697.78748,2020897.62232
"DEER-209-X-2005",2005,"MILL BROOK BRANCH",213354,466126,39.586107306,76.230273712,NA,"021202","Susquehanna River","SQ","02120202","Deer Creek","0322","021202020322","Harford","HA","EPIEDMONT","EPIEDMONT",0,0,0,0,0,1670423.85864,2014961.9773
"HA-P-214-211-97",1997,"HOLLANDS BRANCH",218129.2,466629.4,39.629075348,76.223941744,NA,"021202","Susquehanna River","SQ","02120202","Deer Creek","0322","021202020322","Harford","HA","EPIEDMONT","EPIEDMONT",0,0,0,0,0,1670149.02757,2019836.91823
"CE-P-022-316-97",1997,"CONOWINGO CREEK",226593,469270.5,39.705093754,76.192309219,NA,"021202","Susquehanna River","SQ","02120204","Conowingo Dam Susq R","0335","021202040335","Cecil","CE","EPIEDMONT","EPIEDMONT",0,0,0,0,0,1670974.41182,2028758.39663
"CE-P-056-307-97",1997,"STONE RUN",226560,476951.5,39.704150592,76.102758381,NA,"021202","Susquehanna River","SQ","02120203","Octoraro Creek","0347","021202030347","Cecil","CE","EPIEDMONT","EPIEDMONT",0,0,0,0,0,1678381.87894,2030285.00922
"CE-P-066-117-97",1997,"STONE RUN UT1",226233.7,481354.4,39.700811156,76.051464429,NA,"021202","Susquehanna River","SQ","02120203","Octoraro Creek","0347","021202030347","Cecil","CE","EPIEDMONT","EPIEDMONT",0,0,0,0,0,1682852.1725,2030734.57783
