"","region","transect","featureid","variable","value","zone","riparian_distance_ft"
"1","C & O Canal National Historic Park","COST8-3","2021070538","agriculture",37.9464285714,"local",NA
"2","C & O Canal National Historic Park","COST8-3","2021070538","alloffnet",0.178571428571,"local",NA
"3","C & O Canal National Historic Park","COST8-3","2021070538","allonnet",5.98214285714,"local",NA
"4","C & O Canal National Historic Park","COST8-3","2021070538","ann_tmax_c",20.5123700346,"local",NA
"5","C & O Canal National Historic Park","COST8-3","2021070538","ann_tmin_c",8.57748447827,"local",NA
"6","C & O Canal National Historic Park","COST8-3","2021070538","apr_prcp_mm",80.7550278255,"local",NA
"7","C & O Canal National Historic Park","COST8-3","2021070538","AreaSqKM",1.008,"local",NA
"8","C & O Canal National Historic Park","COST8-3","2021070538","aug_prcp_mm",105.395972756,"local",NA
"9","C & O Canal National Historic Park","COST8-3","2021070538","dec_prcp_mm",82.3363943441,"local",NA
"10","C & O Canal National Historic Park","COST8-3","2021070538","deg_barr_1",0,"local",NA
"11","C & O Canal National Historic Park","COST8-3","2021070538","deg_barr_2",0,"local",NA
"12","C & O Canal National Historic Park","COST8-3","2021070538","deg_barr_3",0,"local",NA
"13","C & O Canal National Historic Park","COST8-3","2021070538","deg_barr_4",0,"local",NA
"14","C & O Canal National Historic Park","COST8-3","2021070538","deg_barr_5",0,"local",NA
"15","C & O Canal National Historic Park","COST8-3","2021070538","deg_barr_6",0,"local",NA
"16","C & O Canal National Historic Park","COST8-3","2021070538","deg_barr_7",0,"local",NA
"17","C & O Canal National Historic Park","COST8-3","2021070538","deg_barr_all",0,"local",NA
"18","C & O Canal National Historic Park","COST8-3","2021070538","dep_no3_2011",9.69422423584,"local",NA
"19","C & O Canal National Historic Park","COST8-3","2021070538","dep_so4_2011",11.5189259044,"local",NA
"20","C & O Canal National Historic Park","COST8-3","2021070538","devel_hi",0,"local",NA
"21","C & O Canal National Historic Park","COST8-3","2021070538","devel_low",0,"local",NA
"22","C & O Canal National Historic Park","COST8-3","2021070538","devel_med",0,"local",NA
"23","C & O Canal National Historic Park","COST8-3","2021070538","devel_opn",0,"local",NA
"24","C & O Canal National Historic Park","COST8-3","2021070538","developed",0,"local",NA
"25","C & O Canal National Historic Park","COST8-3","2021070538","drainageclass",4.51566696509,"local",NA
"26","C & O Canal National Historic Park","COST8-3","2021070538","elevation",29.4973214286,"local",NA
"27","C & O Canal National Historic Park","COST8-3","2021070538","feb_prcp_mm",68.3040827683,"local",NA
"28","C & O Canal National Historic Park","COST8-3","2021070538","forest",60.8928571429,"local",NA
"29","C & O Canal National Historic Park","COST8-3","2021070538","forest_decid",43.4821428571,"local",NA
"30","C & O Canal National Historic Park","COST8-3","2021070538","forest_evgrn",3.30357142857,"local",NA
"31","C & O Canal National Historic Park","COST8-3","2021070538","forest_mixed",14.1071428571,"local",NA
"32","C & O Canal National Historic Park","COST8-3","2021070538","fwsopenwater",0.357142857143,"local",NA
"33","C & O Canal National Historic Park","COST8-3","2021070538","fwswetlands",5.625,"local",NA
"34","C & O Canal National Historic Park","COST8-3","2021070538","herbaceous",1.07142857143,"local",NA
"35","C & O Canal National Historic Park","COST8-3","2021070538","hydrogroup_a",12.7678571429,"local",NA
"36","C & O Canal National Historic Park","COST8-3","2021070538","hydrogroup_ab",60.8928571429,"local",NA
"37","C & O Canal National Historic Park","COST8-3","2021070538","hydrogroup_cd",38.6607142857,"local",NA
"38","C & O Canal National Historic Park","COST8-3","2021070538","hydrogroup_d1",7.76785714286,"local",NA
"39","C & O Canal National Historic Park","COST8-3","2021070538","hydrogroup_d4",37.8571428571,"local",NA
"40","C & O Canal National Historic Park","COST8-3","2021070538","impervious",0,"local",NA
"41","C & O Canal National Historic Park","COST8-3","2021070538","jan_prcp_mm",78.9637629781,"local",NA
"42","C & O Canal National Historic Park","COST8-3","2021070538","jul_prcp_mm",112.006922136,"local",NA
"43","C & O Canal National Historic Park","COST8-3","2021070538","jun_prcp_mm",92.9281826837,"local",NA
"44","C & O Canal National Historic Park","COST8-3","2021070538","mar_prcp_mm",101.199183307,"local",NA
"45","C & O Canal National Historic Park","COST8-3","2021070538","may_prcp_mm",108.255042485,"local",NA
"46","C & O Canal National Historic Park","COST8-3","2021070538","nov_prcp_mm",84.3331401008,"local",NA
"47","C & O Canal National Historic Park","COST8-3","2021070538","oct_prcp_mm",89.1228354727,"local",NA
"48","C & O Canal National Historic Park","COST8-3","2021070538","openoffnet",0,"local",NA
